AC,AC_FL,AC_T,FL,FL_T
6.61999089430237e-5,2.618506759511945e-6,6.834683630745512e-5,1.000582141833796,0.999926552673514
6.042107485109821e-5,2.8883233297227255e-6,6.286485920734352e-5,1.0005367909403624,0.9999325156661132
5.774046750241859e-5,3.209182573364742e-6,6.051635993864651e-5,1.000504387101298,0.9999353295551437
5.382559185325642e-5,3.546018430102352e-6,5.695780288012544e-5,1.0004696542935,0.9999394170025498
5.4002123367805584e-5,3.906855915649964e-6,5.749505598537217e-5,1.0004492343881242,0.9999393258135453
5.5310431029979596e-5,4.307914157078368e-6,5.9202493381735986e-5,1.0004291927172415,0.999938098658571
5.821287648616681e-5,4.7132309452243925e-6,6.250105292617176e-5,1.00041490917971,0.9999352366635147
5.991812733241616e-5,5.122233656332605e-6,6.46152848542179e-5,1.0003966654185654,0.9999336122690871
6.355336241658229e-5,5.593221738817927e-6,6.871847406794728e-5,1.0003775740854228,0.9999300517269057
6.851008819744945e-5,6.030570320593432e-6,7.410425621415312e-5,1.0003631823068122,0.999925132203453
7.585425792852817e-5,6.489633713745622e-6,8.18908277665279e-5,1.0003516486364845,0.9999177839182248
8.612770600761042e-5,7.005638031129225e-6,9.266072848834733e-5,1.0003372082627877,0.9999075006782336
9.40664058398022e-5,7.457139152063381e-6,0.00010104371673145838,1.000320555159367,0.9998995970934662
0.000105038257745265,7.920504808992363e-6,0.00011247065519989019,1.000301214606339,0.9998886565172925
0.00011908377402249616,8.364266488986819e-6,0.0001269442761540472,1.0002834529471523,0.9998746032105463
0.00013313630521719568,8.820762621398422e-6,0.00014144583817902654,1.000261510910251,0.9998605808287111
0.0001550626572640999,9.253370037679742e-6,0.00016378003595484065,1.0002402214938617,0.9998386039751254
0.00017690242657899903,9.70595937532962e-6,0.00018605584614755585,1.0002148236555657,0.9998167522034637
0.00020363450560110393,1.0118874631813688e-5,0.00021318457919442346,1.000184628085068,0.9997900065076857
0.00023041386108304501,1.0511336480766876e-5,0.0002403417434688112,1.0001544567309713,0.9997632162171073
0.00027156545509616147,1.0933919471549987e-5,0.00028188769841959904,1.0001138671643697,0.9997220050655127
0.0003015687282167205,1.1255838255222005e-5,0.0003122098144619097,1.0000766905416774,0.9996920315774567
0.0003460764661756682,1.1566792509746747e-5,0.0003570133962281881,1.0000289955092558,0.9996475074912448
0.0004020785116444472,1.1833473321827484e-5,0.0004132570797695232,0.9999736336457992,0.999591447819112
0.0004575508874788113,1.2100311163901772e-5,0.0004689815019146813,0.9999150370307718,0.9995359581401377
0.0005253682781360587,1.2340142933798085e-5,0.0005370132643664745,0.9998478392162795,0.999468082059989
