AC,FL,AC_FL,AC_T,FL_T
6.568728020442732e-5,0.9957537548659284,2.1603714492225564e-6,6.801759708144816e-5,0.9951008082135858
5.996911259324751e-5,0.9957047279091974,2.4049862164110242e-6,6.256211606448791e-5,0.9951066530167866
5.732122656631824e-5,0.9956697806966491,2.6965447888251564e-6,6.022500223935471e-5,0.9951093924642619
5.3450720164355584e-5,0.9956322388006704,3.013799122419702e-6,5.668366910550573e-5,0.9951133782636604
5.363485213284177e-5,0.9956103331760701,3.3453921081219803e-6,5.721839426084029e-5,0.9951132534368397
5.4942553077004486e-5,0.9955889111417093,3.7152242744838407e-6,5.891767187136951e-5,0.9951120025687762
5.7829969899548396e-5,0.9955737866588072,4.085262440773341e-6,6.220040003273263e-5,0.9951091467256574
5.9531865137743145e-5,0.995554324859368,4.467259243163031e-6,6.430451867757963e-5,0.9951075011895515
6.314994348646678e-5,0.9955340918202521,4.905753579782697e-6,6.838802630100922e-5,0.9951039363326598
6.807717384392666e-5,0.995519004270179,5.3089767713828725e-6,7.374794006298947e-5,0.9950990387829589
7.537200352056545e-5,0.9955071668861706,5.725501330745872e-6,8.149707610101419e-5,0.9950917489762124
8.557522536476698e-5,0.9954924278074836,6.192868715691576e-6,9.221518707065009e-5,0.9950815483325388
9.346342015310536e-5,0.9954751414057665,6.611865935508167e-6,0.00010055789264646569,0.9950736889735595
0.00010436315433013147,0.9954551944676466,7.041932520975019e-6,0.00011192990236892664,0.9950628159801792
0.00011831159978395696,0.9954371768922056,7.447708320045076e-6,0.00012633391144994252,0.9950488705922333
0.00013227040232738802,0.9954146758630588,7.876114112491094e-6,0.0001407657567364682,0.9950349385227059
0.00015404045351075622,0.9953934685119067,8.26764224851412e-6,0.00016299248537653049,0.9950131466646358
0.00017572811790295554,0.9953678526917877,8.690410884434959e-6,0.0001851611390800163,0.9949914617281435
0.0002022734388109133,0.9953374548883988,9.082819168414305e-6,0.00021215935449160278,0.9949649186152058
0.00022886601267459774,0.9953070953557802,9.461575640566013e-6,0.0002391858676044403,0.9949383302804731
0.0002697254759366401,0.9952666410794277,9.870099841435164e-6,0.0002805318756674604,0.9948974492260202
0.00029952365782609064,0.9952290171943627,1.0211424241124799e-5,0.00031070815083383786,0.994867681376807
0.0003437203109009244,0.9951812024155573,1.0550379904336617e-5,0.00035529614641342707,0.9948234906466056
0.0003993265915830812,0.9951260305639189,1.0856534978140073e-5,0.0004112691232439283,0.9947678679562945
0.0004544118096248326,0.9950673652658865,1.1187331378641564e-5,0.00046672540390188863,0.9947127928004357
0.0005217515106899508,0.9950004077832356,1.1504029445496792e-5,0.0005344297303492081,0.9946454417537567
0.0005872579594492719,0.9949313410373972,1.1843270784605376e-5,0.0006002996975295565,0.9945799506768018
0.0006620631023302127,0.9948530388495921,1.2161009560861428e-5,0.0006754335266920337,0.9945051639877394
0.0007462562302259066,0.9947654658621334,1.2415756248821468e-5,0.0007598706476033063,0.9944209930895274
0.0008543142431072338,0.9946576835242291,1.2749624013640373e-5,0.0008682593995249224,0.9943129389747131
0.0009743929206429963,0.9945379039982886,1.304845076299602e-5,0.000988607454969227,0.9941928701310445
