BPD,AC,FL,HC,BPD_AC,BPD_FL,BPD_HC,AC_FL,AC_HC,FL_HC,BPD_T,AC_T,FL_T,HC_T
1.0144229568512403e-5,0.983273957136909,0.008553211819955296,0.0002955252468018954,5.873998375935586e-6,1.4906865064856013e-7,0.0029000357606716104,-1.1381982525310005e-8,-5.384828357602592e-5,2.4268477569967715e-5,1.5235048970937212e-5,0.9863461124909929,0.011614626437238169,0.00040351747599844925
1.3598156302759907e-5,0.9830951794353257,0.008405612129557836,0.00027887217750325916,8.305066852838436e-6,1.5719397751250347e-7,0.0032439191607827474,-4.758634642639903e-8,-3.802320234788149e-5,2.8281988591700346e-5,2.0942190528027597e-5,0.9865146094113332,0.011801990330047227,0.00039408956242341516
1.738432873908412e-5,0.9833283112867889,0.007970189692125387,0.0002651737838721338,1.1290633854825046e-5,1.4511038252424464e-7,0.003457376513248077,-1.0292240541456019e-7,-2.291210721529022e-5,3.149962252535349e-5,2.7517065591707522e-5,0.9869668438892203,0.011572689998798315,0.0003878211353648865
2.1430976676869842e-5,0.9832492221093692,0.007763580944179192,0.0002517648972551453,1.484787633322505e-5,1.1783376812645905e-7,0.0037555439349444457,-1.8198773951033447e-7,-9.482902256025123e-6,3.508701662480567e-5,3.4917062775631635e-5,0.9871912383337877,0.011657155603470689,0.00038111228142016367
2.5899777694421035e-5,0.9837757034872681,0.007183696548621728,0.00024204486065403276,1.905259611459933e-5,6.351761522170487e-8,0.0038117435727344925,-2.786422979902431e-7,3.0438376864195605e-6,3.69613492166706e-5,4.336095498914257e-5,0.9877822945785458,0.011128600997196324,0.00037823577996633353
3.114015191040798e-5,0.98431135002899,0.006610559479789163,0.00023397667931903304,2.4444584764053418e-5,-2.3164058597361334e-8,0.0038475534200628093,-4.121010286046473e-7,1.649193584389472e-5,3.8622118650737866e-5,5.372386089290591e-5,0.9883648123587849,0.010586730404152344,0.0003781984480359465
3.6232275536179845e-5,0.985032911596628,0.0059690163720750936,0.00022686219432785354,3.0166940473060136e-5,-1.4278640229094057e-7,0.0037627661627002637,-5.659039637064679e-7,2.81036698504717e-5,3.9173164003795766e-5,6.42655256732027e-5,0.9890134656967601,0.009857271650768804,0.0003782843998356478
4.157902522956866e-5,0.985469804724173,0.005527989894432366,0.000222108850505822,3.666683699905425e-5,-2.8511115357969346e-7,0.003759145199873504,-7.49465607645206e-7,4.057132007269662e-5,4.013424269874602e-5,7.582966362442402e-5,0.9894602802488193,0.009409411356368575,0.00038198530655104393
4.6791492000769105e-5,0.9859570607482646,0.005061671187640279,0.000214555508408041,4.402923913082216e-5,-4.919633937842452e-7,0.0037339838922824456,-9.929325687289604e-7,5.208825395374376e-5,4.088826982798198e-5,8.809840165459037e-5,0.9899361641396258,0.008914749435341053,0.000382014441286629
5.3698322268775786e-5,0.9865573965125868,0.004574536325385178,0.00021131468734281902,5.330578487270191e-5,-7.169637692791518e-7,0.003604399733026571,-1.2539864278408297e-6,6.41032365936986e-5,4.0616696916708755e-5,0.00010391729785189354,0.9904250081427203,0.008296193157504746,0.0003876425153201683
5.99160708163817e-5,0.987296349258314,0.004041078930293428,0.00020605900651593203,6.264410399257397e-5,-9.943114091997862e-7,0.003385129256555373,-1.5468867617990787e-6,7.347250047731857e-5,3.946435578877643e-5,0.00011911164007332967,0.9909616931222824,0.007542469289956329,0.0003891714555987494
6.592346831723014e-5,0.9880020631524118,0.0035369800232301373,0.0002021793988917364,7.302255336583717e-5,-1.3515648757416613e-6,0.003165928109870465,-1.9127369401222553e-6,8.531340089935127e-5,3.8213185146288995e-5,0.00013510955846767953,0.9914688897713589,0.006818256687164037,0.00039454393649839166
7.255616761376347e-5,0.9884670261982373,0.0031954838889956838,0.00020038111305189021,8.432901317144839e-5,-1.7002370517885664e-6,0.0030215066901212854,-2.280126353970355e-6,9.696200635491323e-5,3.7389067188202515e-5,0.00015265543065610805,0.991810909481385,0.006331456205277133,0.0004022373553996767
7.922581656136742e-5,0.9889280736704171,0.00286870012931141,0.00019700839228776259,9.679132686356882e-5,-2.11584859099575e-6,0.0028677637800872406,-2.7093547502370017e-6,0.00010742571675115276,3.639417807427705e-5,0.00017136751920629093,0.9921400655210278,0.005850186130668291,0.000407351827691684
8.63744000991639e-5,0.9894607545103422,0.0025285051117770042,0.0001947977447018127,0.00011033697596179937,-2.5640355958883216e-6,0.0026508470469653097,-3.158760909383701e-6,0.00011769753344540401,3.473048442440029e-5,0.0001916154412093751,0.9924795957060594,0.00529305576406066,0.00041379122070266155
9.35422818492384e-5,0.9898645304421794,0.002261455115720597,0.00019220859176504533,0.00012514582238408575,-3.0704738361597737e-6,0.0024901322415679292,-3.6714954012784965e-6,0.00012809651351210384,3.34815788028668e-5,0.00021312550837665709,0.9927475616589604,0.004865017172652187,0.00042003355118135934
0.00010288378544448903,0.9904034039458798,0.0019456871495209102,0.0001916464726016789,0.00014348803446081955,-3.638003051265218e-6,0.0022311203900999546,-4.230449499882615e-6,0.00013980589839643324,3.123681323773095e-5,0.00024024485927779567,0.9930581967498129,0.004290786219432595,0.00042976322439048465
0.00011048220546046155,0.9908202089384562,0.0016990954312845106,0.00018964966407922313,0.00016085574251192746,-4.250538756863911e-6,0.0020316183155361127,-4.832120132822124e-6,0.00015025441249443566,2.9450502888480374e-5,0.00026469179086426,0.9933039113029679,0.003845001561359465,0.0004369567335437496
0.0001183118484067133,0.9912003799710284,0.0014789645554978317,0.00018889324902441262,0.00017955316941815504,-4.908991846281477e-6,0.0018379238610095586,-5.476426282057026e-6,0.00016217084433157333,2.7644006208816496e-5,0.00029067577248676185,0.9935217404965768,0.0034316247714291414,0.0004469198815109154
0.00012665285572066766,0.9915423420581533,0.0012878384068577213,0.00018793397966434148,0.0001995132551592111,-5.58138957748409e-6,0.0016525699893567283,-6.133058196519504e-6,0.0001727961817755894,2.5844790715712347e-5,0.0003184136392873496,0.9937097680708885,0.0030556396677310707,0.000455518915249274
0.00013451713820432444,0.9919176746296376,0.001087620952922043,0.00018611427754139986,0.0002208287009674,-6.375915245915445e-6,0.0014426957586999372,-6.898061082022809e-6,0.00018355968686253028,2.3719755411645974e-5,0.0003470018691665898,0.9939085580926111,0.002646219510982327,0.00046341470289114025
0.00014323670258678414,0.9921475789062474,0.0009580398128278771,0.00018550964741361763,0.00024348516119453552,-7.125107100656246e-6,0.0013048814831121516,-7.634841610059992e-6,0.0001944089919283956,2.2288898547540438e-5,0.0003777715856450435,0.99403487907354,0.0023792326107854598,0.00047271675907627496
0.00015407316148260746,0.992397331598008,0.0008208330151980821,0.00018545353789716442,0.00027164499107044964,-8.00802301146647e-6,0.0011450093770238943,-8.498905695022034e-6,0.00020701190278401134,2.0569542829720466e-5,0.00041603020744429114,0.9941663626179843,0.0020826580275156844,0.0004841903395023861
0.00016316569073998986,0.9926575083196337,0.0006877645193964617,0.00018600851643503713,0.0002972558838174166,-8.86336022914959e-6,0.000973024851450917,-9.320946543762646e-6,0.00021980621475186943,1.8655522630474437e-5,0.00045007596689997266,0.9942939566391731,0.0017782094743117234,0.0004964884901209998
0.00016954240739303924,0.9928676289098876,0.0005816633815293026,0.00018534784474403225,0.00031947130082933013,-9.733070602897894e-6,0.0008334301351833591,-1.0158470637961105e-5,0.00023109270146364156,1.7048533098809034e-5,0.0004781080142986502,0.9943991128196409,0.0015330860107527161,0.0005062744937884691
0.00018142988337686223,0.993059604028192,0.0004808803522593988,0.00018525727458563435,0.00035266507543273395,-1.0723295274982508e-5,0.000689509035938344,-1.111880700689423e-5,0.00024284216942334642,1.53220499110653e-5,0.0005223689840424014,0.9944927298297548,0.0012886626289708018,0.0005168017864612405
0.00019057316100966768,0.9932097263881524,0.00040028149573914293,0.0001856869470478476,0.00038249647687161426,-1.1724937930940219e-5,0.0005717671954832445,-1.2091150881005032e-5,0.0002561955849419312,1.385978597986063e-5,0.000560619429363175,0.9945690497151725,0.0010906901702915333,0.0005295843189540438
0.00019980332545234912,0.9933409183170855,0.00032979793727874463,0.0001853901693370531,0.00041369363484473876,-1.276809107418058e-5,0.00046364176912294186,-1.3104771049307026e-5,0.0002681386664220144,1.2461959457493352e-5,0.0006003009359919107,0.9946359448111725,0.0009123287385909359,0.0005402618666350877
0.00020952039153666763,0.993447896663471,0.0002690385722530799,0.00018638422710825356,0.0004462874517198701,-1.3804178538334287e-5,0.00036508069147641497,-1.4111051676103352e-5,0.0002819990083566653,1.1133385278115965e-5,0.0006418454181517587,0.9946912169255647,0.000753132865746894,0.0005540222481703686
0.00021890624396621775,0.9935508006698336,0.00021180768169143838,0.0001862861471520425,0.0004802030854167783,-1.4925854025262427e-5,0.0002689386791240195,-1.5199247411582662e-5,0.00029444819197355115,9.757381454870432e-6,0.0006843630035550223,0.9947447014465943,0.0005997027196687686,0.0005652471324736105
0.0002286485196369249,0.99362566341098,0.00016468650660922098,0.00018741751183627375,0.0005152359197715837,-1.6030582438262287e-5,0.00018639525201380024,-1.6272153595076852e-5,0.00030886773799265223,8.4998891385766e-6,0.0007283399778138033,0.9947864952809259,0.0004698190041367112,0.0005795481093063263
